,Country Name,GDP per Capita (PPP),Unemployment (%),Inflation (%)
0,Afghanistan,"$1,958",8.8,5.0
1,Albania,"$12,507",13.9,2.0
2,Algeria,"$15,237",10.0,5.6
3,Angola,"$6,753",8.2,31.7
4,Argentina,"$20,876",8.7,25.7
5,Armenia,"$9,456",18.2,0.9
6,Australia,"$50,334",5.6,2.0
7,Austria,"$49,869",5.5,2.2
8,Azerbaijan,"$17,492",5.0,13.0
9,Bahamas,"$31,139",12.6,1.4
10,Bahrain,"$48,505",1.2,1.4
11,Bangladesh,"$4,211",4.4,5.7
12,Barbados,"$18,664",9.7,4.4
13,Belarus,"$18,931",0.5,6.0
14,Belgium,"$46,553",7.4,2.2
15,Belize,"$8,324",9.3,1.1
16,Benin,"$2,277",2.5,0.1
17,Bhutan,"$8,744",2.4,3.4
18,Bolivia,"$7,547",3.1,2.8
19,Bosnia and Herzegovina,"$12,724",25.6,1.3
20,Botswana,"$17,828",17.4,3.3
21,Brazil,"$15,603",13.3,3.4
22,Brunei Darussalam,"$78,196",7.1,-0.1
23,Bulgaria,"$21,687",6.2,1.2
24,Burkina Faso,"$1,889",6.3,0.4
25,Burma,"$6,244",0.8,5.1
26,Burundi,$735,1.6,16.6
27,Cambodia,"$4,012",0.2,2.9
28,Cameroon,"$3,660",4.2,0.6
29,Canada,"$48,265",6.3,1.6
30,Cabo Verde,"$6,944",10.3,0.8
31,Central African Republic,$677,6.0,3.8
32,Chad,"$2,344",5.9,-0.9
33,Chile,"$24,537",7.0,2.2
34,China,"$16,660",4.7,1.6
35,Colombia,"$14,485",8.9,4.3
36,Comoros,"$1,588",4.3,1.0
37,"Congo, Democratic Republic of the Congo",$790,3.7,41.5
38,"Congo, Republic of","$6,642",11.0,0.5
39,Costa Rica,"$16,877",8.1,1.6
40,Côte d'Ivoire,"$3,883",2.6,0.8
41,Croatia,"$24,424",11.2,1.1
42,Cuba,"$12,920",2.6,5.5
43,Cyprus,"$37,023",11.0,0.7
44,Czech Republic,"$35,512",2.9,2.4
45,Denmark,"$49,883",5.7,1.1
46,Djibouti,"$3,559",5.8,0.7
47,Dominica,"$11,102",,0.6
48,Dominican Republic,"$16,944",5.5,3.3
49,Ecuador,"$11,482",3.8,0.4
50,Egypt,"$12,671",12.1,23.5
51,El Salvador,"$8,948",4.5,1.0
52,Equatorial Guinea,"$36,017",6.9,0.7
53,Eritrea,"$1,581",6.4,9.0
54,Estonia,"$31,750",5.8,3.7
55,Eswatini,"$9,884",26.4,6.3
56,Ethiopia,"$2,161",5.2,9.9
57,Fiji,"$9,777",6.3,3.4
58,Finland,"$44,333",8.6,0.8
59,France,"$43,761",9.4,1.2
60,Gabon,"$19,254",19.7,3.0
61,Gambia,"$1,713",9.5,8.0
62,Georgia,"$10,747",11.6,6.0
63,Germany,"$50,425",3.8,1.7
64,Ghana,"$4,729",2.4,12.4
65,Greece,"$27,737",21.5,1.1
66,Guatemala,"$8,145",2.7,4.4
67,Guinea,"$2,041",4.5,8.9
68,Guinea-Bissau,"$1,845",6.1,1.1
69,Guyana,"$8,161",12.0,2.1
70,Haiti,"$1,815",14.0,14.7
71,Honduras,"$5,562",4.5,3.9
72,Hong Kong,"$61,393",3.1,1.5
73,Hungary,"$29,474",4.2,2.4
74,Iceland,"$51,842",2.8,1.8
75,India,"$7,183",3.5,3.6
76,Indonesia,"$12,377",4.2,3.8
77,Iran,"$20,200",12.5,9.9
78,Iraq,"$16,954",8.2,0.1
79,Ireland,"$75,538",6.4,0.3
80,Israel,"$36,340",4.3,0.2
81,Italy,"$38,140",11.2,1.3
82,Jamaica,"$9,163",12.5,4.4
83,Japan,"$42,832",2.8,0.5
84,Jordan,"$12,494",14.9,3.3
85,Kazakhstan,"$26,252",4.9,7.4
86,Kenya,"$3,491",11.5,8.0
87,Kiribati,"$1,976",,2.2
88,"Korea, North ","$1,700 (2015 est.)",4.8,
89,"Korea, South","$39,434",3.7,1.9
90,Kosovo,"$10,515",,1.5
91,Kuwait,"$66,163",2.1,1.5
92,Kyrgyz Republic,"$3,667",7.3,3.2
93,Laos,"$7,366",0.7,0.8
94,Latvia,"$27,644",8.7,2.9
95,Lebanon,"$19,439",6.6,4.5
96,Lesotho,"$3,581",27.3,5.6
97,Liberia,"$1,354",2.4,12.4
98,Libya,"$9,986",17.7,28.0
99,Liechtenstein,"$139,100 (2009 est.)",2.1 (2016),
100,Lithuania,"$32,299",7.1,3.7
101,Luxembourg,"$106,374",5.5,2.1
102,Macau,"$111,629",2.0,1.2
103,Macedonia,"$14,914",22.4,1.4
104,Madagascar,"$1,551",1.8,8.1
105,Malawi,"$1,167",5.9,11.5
106,Malaysia,"$29,041",3.4,3.8
107,Maldives,"$19,151",5.0,2.8
108,Mali,"$2,170",7.9,1.8
109,Malta,"$41,945",4.0,1.3
110,Mauritania,"$4,444",9.9,2.3
111,Mauritius,"$21,640",7.1,3.7
112,Mexico,"$19,903",3.4,6.0
113,Micronesia,"$3,393",,0.5
114,Moldova,"$5,661",4.5,6.6
115,Mongolia,"$12,979",7.0,4.6
116,Montenegro,"$17,736",16.1,2.4
117,Morocco,"$8,567",9.3,0.8
118,Mozambique,"$1,244",25.0,15.3
119,Namibia,"$11,312",23.3,6.1
120,Nepal,"$2,679",2.7,4.5
121,Netherlands,"$53,635",4.8,1.3
122,New Zealand,"$38,934",4.9,1.9
123,Nicaragua,"$5,849",4.4,3.9
124,Niger,"$1,164",0.4,2.4
125,Nigeria,"$5,929",7.0,16.5
126,Norway,"$71,831",4.2,1.9
127,Oman,"$45,157",3.3,1.6
128,Pakistan,"$5,358",4.0,4.1
129,Panama,"$25,351",4.5,0.9
130,Papua New Guinea,"$3,675",2.7,5.2
131,Paraguay,"$9,826",4.6,3.6
132,Peru,"$13,334",3.6,2.8
133,Philippines,"$8,315",2.4,3.2
134,Poland,"$29,521",4.9,2.0
135,Portugal,"$30,417",8.9,1.6
136,Qatar,"$124,529",0.1,0.4
137,Romania,"$24,508",4.9,1.3
138,Russia,"$27,834",5.2,3.7
139,Rwanda,"$2,080",1.3,4.8
140,Saint Lucia,"$14,450",21.0,0.1
141,Saint Vincent and the Grenadines,"$11,491",18.3,2.0
142,Samoa,"$5,740",8.2,1.3
143,São Tomé and Príncipe,"$3,180",13.5,5.5
144,Saudi Arabia,"$54,777",5.5,-0.9
145,Senegal,"$2,727",4.9,1.4
146,Serbia,"$15,000",14.1,3.1
147,Seychelles,"$28,779",,2.9
148,Sierra Leone,"$1,553",4.5,18.0
149,Singapore,"$93,906",2.0,0.6
150,Slovakia,"$33,025",8.1,1.3
151,Slovenia,"$34,407",6.6,1.4
152,Solomon Islands,"$2,157",2.1,-0.4
153,Somalia,,6.0,
154,South Africa,"$13,545",27.3,5.3
155,Spain,"$38,286",17.2,2.0
156,Sri Lanka,"$12,811",4.1,6.5
157,Sudan,"$4,586",12.7,32.4
158,Suriname,"$14,606",8.1,22.0
159,Sweden,"$51,475",6.7,1.9
160,Switzerland,"$61,422",4.8,0.5
161,Syria,,14.9,
162,Taiwan ,"$50,294",3.8,0.6
163,Tajikistan,"$3,212",10.3,7.3
164,Tanzania,"$3,240",2.2,5.3
165,Thailand,"$17,856",1.1,0.7
166,Timor-Leste,"$5,444",3.4,0.6
167,Togo,"$1,659",1.8,-0.7
168,Tonga,"$5,608",1.1,8.0
169,Trinidad and Tobago,"$31,367",4.8,1.9
170,Tunisia,"$11,755",15.4,5.3
171,Turkey,"$26,893",11.3,11.1
172,Turkmenistan,"$18,126",3.4,8.0
173,Uganda,"$2,354",2.1,5.6
174,Ukraine,"$8,713",9.5,14.4
175,United Arab Emirates,"$67,741",1.7,2.0
176,United Kingdom,"$44,118",4.3,2.7
177,United States,"$59,501",4.4,2.1
178,Uruguay,"$22,371",7.9,6.2
179,Uzbekistan,"$6,929",7.2,12.5
180,Vanuatu,"$2,739",5.2,3.1
