,countries,hf_score,hf_rank
0,Albania,8.14,43.0
1,Algeria,5.26,154.0
2,Angola,6.09,129.0
3,Argentina,7.38,74.0
4,Armenia,8.2,40.0
5,Australia,8.84,8.0
6,Austria,8.67,21.0
7,Azerbaijan,6.16,127.0
8,"Bahamas, The",8.22,38.0
9,Bahrain,5.73,143.0
10,Bangladesh,5.75,142.0
11,Barbados,7.92,51.0
12,Belarus,6.73,109.0
13,Belgium,8.61,23.0
14,Belize,7.64,63.0
15,Benin,7.32,76.0
16,Bhutan,6.86,98.0
17,Bolivia,6.94,92.0
18,Bosnia and Herzegovina,7.54,67.0
19,Botswana,7.9,53.0
20,Brazil,7.22,78.0
21,Brunei Darussalam,6.46,116.0
22,Bulgaria,8.08,45.0
23,Burkina Faso,6.85,100.0
24,Burundi,5.02,157.0
25,Cabo Verde,8.26,36.0
26,Cambodia,6.47,115.0
27,Cameroon,5.63,145.0
28,Canada,8.85,6.0
29,Central African Republic,5.62,147.0
30,Chad,5.57,150.0
31,Chile,8.44,28.0
32,China,5.57,150.0
33,Colombia,7.01,89.0
34,Comoros,6.07,130.0
35,"Congo, Dem. Rep.",5.62,147.0
36,"Congo, Rep.",5.55,152.0
37,Costa Rica,8.25,37.0
38,Cote d'Ivoire,6.9,95.0
39,Croatia,8.16,42.0
40,Cyprus,8.42,29.0
41,Czech Republic,8.61,23.0
42,Denmark,8.98,3.0
43,Djibouti,5.84,137.0
44,Dominican Republic,7.88,54.0
45,Ecuador,7.43,72.0
46,"Egypt, Arab Rep.",4.49,161.0
47,El Salvador,7.39,73.0
48,Estonia,8.91,4.0
49,Eswatini,5.79,139.0
50,Ethiopia,5.95,132.0
51,Fiji,7.36,75.0
52,Finland,8.85,6.0
53,France,8.34,34.0
54,Gabon,6.8,104.0
55,"Gambia, The",6.88,97.0
56,Georgia,8.2,40.0
57,Germany,8.73,15.0
58,Ghana,7.49,70.0
59,Greece,7.86,56.0
60,Guatemala,7.63,65.0
61,Guinea,5.82,138.0
62,Guinea-Bissau,6.77,106.0
63,Guyana,7.49,70.0
64,Haiti,7.21,80.0
65,Honduras,7.09,86.0
66,"Hong Kong SAR, China",8.41,30.0
67,Hungary,7.73,59.0
68,Iceland,8.77,12.0
69,India,6.39,119.0
70,Indonesia,7.1,85.0
71,"Iran, Islamic Rep.",4.53,160.0
72,Iraq,5.02,157.0
73,Ireland,8.9,5.0
74,Israel,7.66,62.0
75,Italy,8.49,26.0
