,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Bem Doce,Preto Show,"['hip hop tuga', 'kizomba', 'musica angolana', 'rap angolano']",39,39,0.612,0.587,7,-5.754,0,0.291,0.153,0.0558,0.649,200.178,Angola
1,Tratar Bem,Anselmo Ralph,"['kizomba', 'musica angolana', 'portuguese pop', 'semba']",51,45,0.657,0.51,5,-5.258,0,0.312,0.628,0.121,0.671,167.907,Angola
2,Como Antes,Matias Damásio,"['kizomba', 'musica angolana', 'portuguese pop', 'semba']",51,62,0.574,0.776,2,-5.288,0,0.0491,0.392,0.211,0.516,171.932,Angola
3,Spadja Pé,Neyna,"['kizomba', 'kizomba cabo-verdiana']",42,39,0.626,0.758,2,-6.446,1,0.161,0.037,0.111,0.407,190.041,Angola
4,Calm Down,Rema,['nigerian pop'],81,84,0.811,0.781,11,-6.333,1,0.0428,0.376,0.121,0.824,107.007,Angola
5,AVÉ,Djodje,"['kizomba', 'musica santomense', 'portuguese pop']",50,47,0.575,0.722,9,-7.172,0,0.211,0.0288,0.189,0.621,184.117,Angola
6,Trompete,Soraia Ramos,"['kizomba', 'portuguese pop']",50,49,0.715,0.711,1,-8.262,0,0.226,0.203,0.439,0.674,115.023,Angola
7,Versos & Poesias #4: Céu Azul,Dj Black Spygo,['trap angolano'],38,1,0.736,0.71,0,-5.025,0,0.229,0.541,0.11,0.787,95.222,Angola
8,Collabo,June Freedom,['kizomba'],56,62,0.725,0.444,6,-9.704,0,0.133,0.56,0.124,0.821,91.992,Angola
9,BKBN,Soraia Ramos,"['kizomba', 'portuguese pop']",50,46,0.695,0.691,1,-6.113,1,0.113,0.524,0.683,0.769,97.548,Angola
10,Brabo,Brada,[],24,29,0.876,0.688,2,-6.881,1,0.0825,0.000909,0.038,0.41,125.965,Angola
11,Ka nu komplika,Ricky Man,['kizomba cabo-verdiana'],23,30,0.793,0.524,2,-8.254,0,0.0633,0.223,0.0858,0.484,95.031,Angola
12,Clima,Landrick,"['kizomba', 'musica angolana']",43,44,0.569,0.762,1,-4.697,1,0.237,0.21,0.0657,0.81,191.976,Angola
