,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,La Bachata,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",85,97,0.835,0.679,7,-5.329,0,0.0364,0.583,0.218,0.85,124.98,Argentina
1,Marisola - Remix,Cris Mj,"['mambo chileno', 'urbano chileno', 'urbano latino']",81,81,0.765,0.872,1,-5.863,1,0.0498,0.173,0.0749,0.722,94.999,Argentina
2,Dos Besitos,La Joaqui,"['argentine hip hop', 'rap latina']",74,80,0.864,0.667,5,-4.617,0,0.0833,0.245,0.0998,0.782,96.889,Argentina
3,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",86,96,0.621,0.782,2,-5.548,1,0.044,0.0125,0.23,0.55,128.033,Argentina
4,Punto G,Quevedo,"['rap canario', 'urbano latino']",87,89,0.751,0.761,11,-4.113,0,0.15,0.251,0.0991,0.553,92.032,Argentina
5,Tu Turrito,Rei,['trap argentino'],73,82,0.838,0.545,9,-6.1,0,0.0604,0.0966,0.0927,0.428,90.023,Argentina
6,CÓMO CHILLA ELLA,YSY A,"['argentine hip hop', 'trap argentino']",79,82,0.933,0.699,2,-8.0,0,0.177,0.197,0.0617,0.798,128.036,Argentina
7,ARRANCARMELO,WOS,"['argentine indie', 'trap argentino']",74,81,0.654,0.354,5,-7.358,1,0.0738,0.724,0.134,0.262,81.956,Argentina
8,Ya No Vuelvas (Versión Cuarteto),Luck Ra,"['trap argentino', 'trap triste']",64,74,0.736,0.9,1,-4.575,1,0.0825,0.224,0.375,0.562,149.947,Argentina
9,Hey Mor,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",90,91,0.901,0.589,1,-6.713,0,0.289,0.00302,0.0992,0.399,98.002,Argentina
10,Butakera,La Joaqui,"['argentine hip hop', 'rap latina']",74,81,0.871,0.563,1,-6.422,1,0.0618,0.56,0.0665,0.457,88.96,Argentina
11,DESPECHÁ,ROSALÍA,['r&b en espanol'],86,86,0.914,0.622,7,-6.538,1,0.0892,0.146,0.0632,0.77,130.04,Argentina
12,CALLEJERO FINO | DJ TAO Turreo Sessions #723,DJ Tao,"['cumbia 420', 'previa']",67,78,0.774,0.877,10,-4.054,1,0.0623,0.0304,0.429,0.648,92.997,Argentina
13,Pa’ la Selección,La T y La M,['previa'],65,69,0.605,0.572,11,-6.06,0,0.0435,0.144,0.721,0.834,84.827,Argentina
14,Vista Al Mar,Quevedo,"['rap canario', 'urbano latino']",87,89,0.759,0.561,0,-5.643,0,0.131,0.803,0.101,0.491,104.915,Argentina
15,TU AMOR | E7,DJ Alex,"['cumbia 420', 'previa']",66,78,0.668,0.543,6,-10.298,0,0.0435,0.265,0.347,0.671,136.459,Argentina
16,Besos Moja2,Wisin & Yandel,"['electro latino', 'latin hip hop', 'reggaeton', 'urbano latino']",83,82,0.736,0.727,5,-4.642,0,0.0571,0.0584,0.0976,0.644,94.048,Argentina
