,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Evoque Prata,MC MENOR HR,['funk rj'],72,89,0.872,0.519,7,-4.467,1,0.244,0.306,0.276,0.52,86.768,Brazil
1,Bombonzinho - Ao Vivo,Israel & Rodolffo,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",77,88,0.651,0.947,1,-3.669,1,0.0539,0.305,0.92,0.722,158.046,Brazil
2,Eu Gosto Assim - Ao Vivo,Gustavo Mioto,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",74,88,0.636,0.909,0,-3.685,1,0.0439,0.149,0.719,0.61,154.189,Brazil
3,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Guilherme & Benuto,['arrocha'],79,86,0.714,0.748,11,-4.605,1,0.0679,0.59,0.626,0.698,105.031,Brazil
4,Leão,Marília Mendonça,"['arrocha', 'sertanejo']",84,77,0.743,0.865,6,-3.897,1,0.0315,0.449,0.297,0.794,129.999,Brazil
5,Roça Em Mim,Zé Felipe,"['arrocha', 'arrochadeira']",74,84,0.846,0.81,9,-3.332,0,0.0867,0.222,0.139,0.762,135.074,Brazil
6,Agudo Mágico 3,MC K.K,"['funk mandelao', 'funk mtg']",63,78,0.649,0.797,6,-2.405,0,0.0504,0.221,0.0728,0.49,129.966,Brazil
7,Pactos - Ao Vivo,Matheus & Kauan,"['arrocha', 'pop nacional', 'sertanejo pop', 'sertanejo universitario']",80,85,0.565,0.889,1,-2.976,1,0.0498,0.582,0.427,0.473,121.778,Brazil
8,Assunto Delicado - Ao Vivo,Guilherme & Benuto,['arrocha'],79,85,0.569,0.941,4,-4.135,0,0.312,0.401,0.891,0.608,73.776,Brazil
9,Sereia,Orochi,"['brazilian hip hop', 'funk carioca']",76,84,0.651,0.661,9,-5.08,1,0.147,0.276,0.105,0.505,114.528,Brazil
10,Felina,WIU,['trap brasileiro'],77,85,0.585,0.662,5,-4.235,0,0.351,0.385,0.0966,0.533,169.239,Brazil
11,Casei Com a Putaria,Mc Paiva ZS,"['funk carioca', 'funk rj']",79,85,0.585,0.6,10,-7.008,0,0.436,0.117,0.0504,0.617,160.635,Brazil
12,Média Boa - Ao Vivo,Felipe e Rodrigo,['sertanejo pop'],66,83,0.676,0.824,9,-3.675,1,0.0657,0.382,0.529,0.73,118.071,Brazil
13,Beijo de Glicose - Ao Vivo,Diego & Victor Hugo,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",75,84,0.556,0.87,9,-3.738,0,0.101,0.409,0.896,0.59,100.002,Brazil
14,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,[],68,82,0.767,0.684,11,-3.221,0,0.0431,0.508,0.0417,0.965,95.001,Brazil
15,5 Regras - Ao Vivo,Jorge & Mateus,"['arrocha', 'sertanejo', 'sertanejo universitario']",84,84,0.761,0.574,11,-8.196,1,0.0675,0.78,0.459,0.605,124.185,Brazil
16,É Só Um Lance Lero Lero,DJ Dozabri,"['funk mandelao', 'funk mtg']",67,82,0.905,0.713,7,-3.183,1,0.271,0.588,0.0981,0.756,130.193,Brazil
