,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Kill Bill,SZA,"['pop', 'r&b']",94,87,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.161,0.418,88.98,Canada
1,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,['rap'],92,94,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0822,0.172,97.95,Canada
2,Rich Flex,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,95,0.561,0.52,11,-9.342,0,0.244,0.0503,0.355,0.424,153.15,Canada
3,Unholy (feat. Kim Petras),Sam Smith,"['dance pop', 'pop', 'uk pop']",89,98,0.714,0.472,2,-7.375,1,0.0864,0.013,0.266,0.238,131.121,Canada
4,I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",89,96,0.561,0.965,7,-3.673,0,0.0343,0.00383,0.371,0.304,128.04,Canada
5,Anti-Hero,Taylor Swift,['pop'],99,96,0.637,0.643,4,-6.571,1,0.0519,0.13,0.142,0.533,97.008,Canada
6,As It Was,Harry Styles,['pop'],90,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.311,0.662,173.93,Canada
7,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,['rap'],92,88,0.526,0.606,5,-5.3,0,0.259,0.152,0.194,0.492,116.622,Canada
8,Made You Look,Meghan Trainor,"['dance pop', 'hip pop', 'pop']",86,94,0.838,0.525,10,-3.562,1,0.0665,0.345,0.0771,0.884,144.981,Canada
9,I Ain't Worried,OneRepublic,"['piano rock', 'pop']",85,94,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.0546,0.825,139.994,Canada
10,Calm Down (with Selena Gomez),Rema,['nigerian pop'],81,93,0.801,0.806,11,-5.206,1,0.0381,0.382,0.114,0.802,106.999,Canada
11,Just Wanna Rock,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",87,90,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.0642,0.0385,150.187,Canada
12,Something in the Orange,Zach Bryan,['oklahoma country'],84,88,0.369,0.192,4,-12.151,0,0.04,0.555,0.0954,0.148,175.212,Canada
13,golden hour,JVKE,['modern indie pop'],81,89,0.515,0.593,4,-4.801,1,0.0322,0.653,0.25,0.153,94.467,Canada
14,LET GO,Central Cee,['melodic drill'],83,89,0.735,0.449,2,-9.933,0,0.383,0.859,0.213,0.514,146.016,Canada
15,Nobody Gets Me,SZA,"['pop', 'r&b']",94,91,0.358,0.284,7,-8.285,1,0.0285,0.805,0.183,0.276,99.796,Canada
16,Die For You,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,88,0.586,0.525,1,-7.163,0,0.0615,0.111,0.134,0.508,133.629,Canada
17,Escapism.,RAYE,"['dance pop', 'pop', 'uk contemporary r&b', 'uk pop']",79,76,0.538,0.742,2,-5.355,1,0.114,0.138,0.0934,0.25,96.107,Canada
18,Bad Habit,Steve Lacy,['afrofuturism'],85,87,0.686,0.494,1,-7.093,1,0.0355,0.613,0.402,0.7,168.946,Canada
19,The Color Violet,Tory Lanez,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",82,86,0.645,0.534,6,-10.8,0,0.0479,0.157,0.0863,0.463,105.02,Canada
20,Low,SZA,"['pop', 'r&b']",94,88,0.698,0.546,0,-7.234,0,0.0559,0.425,0.16,0.335,145.044,Canada
21,Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",79,87,0.761,0.525,11,-6.9,1,0.0944,0.44,0.0921,0.531,80.87,Canada
22,Jimmy Cooks (feat. 21 Savage),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,89,0.529,0.673,0,-4.711,1,0.175,0.000307,0.093,0.366,165.921,Canada
23,Shirt,SZA,"['pop', 'r&b']",94,85,0.848,0.512,3,-7.72,0,0.102,0.228,0.0879,0.572,120.009,Canada
24,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,"['gen z singer-songwriter', 'pop']",80,91,0.551,0.55,10,-5.339,1,0.0286,0.777,0.202,0.342,101.19,Canada
25,I Like You (A Happier Song) (with Doja Cat),Post Malone,"['dfw rap', 'melodic rap', 'rap']",89,88,0.733,0.67,5,-6.009,1,0.0751,0.121,0.121,0.472,100.964,Canada
26,CUFF IT,Beyoncé,"['dance pop', 'pop', 'r&b']",87,92,0.78,0.689,7,-5.668,1,0.141,0.0368,0.0698,0.642,115.042,Canada
27,10:35,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance', 'tropical house']",84,87,0.696,0.793,8,-5.733,1,0.097,0.0683,0.18,0.698,120.003,Canada
28,Rock and A Hard Place,Bailey Zimmerman,['contemporary country'],74,82,0.582,0.568,1,-7.3,1,0.0275,0.577,0.105,0.394,121.991,Canada
29,Romantic Homicide,d4vd,['bedroom pop'],81,93,0.571,0.544,6,-10.613,1,0.0299,0.453,0.322,0.216,132.052,Canada
30,Under The Influence,Chris Brown,"['dance pop', 'r&b']",89,94,0.733,0.69,9,-5.529,0,0.0427,0.0635,0.105,0.31,116.992,Canada
31,Sweater Weather,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",85,92,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.101,0.398,124.053,Canada
32,Numb,Marshmello,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",83,84,0.912,0.774,0,-4.673,0,0.0455,0.121,0.101,0.632,119.966,Canada
33,Miss You,Oliver Tree,['alternative hip hop'],83,93,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.146,0.199,145.007,Canada
34,Bones,Imagine Dragons,"['modern rock', 'rock']",89,85,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.074,0.587,114.061,Canada
35,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,['rap'],92,86,0.671,0.658,2,-5.567,1,0.309,0.189,0.147,0.257,87.933,Canada
36,The Kind of Love We Make,Luke Combs,"['contemporary country', 'country']",82,78,0.608,0.745,1,-4.13,1,0.0277,0.0226,0.0942,0.464,102.025,Canada
37,You Proof,Morgan Wallen,['contemporary country'],86,85,0.731,0.85,9,-4.913,1,0.0336,0.252,0.605,0.644,119.706,Canada
38,Here With Me,d4vd,['bedroom pop'],81,92,0.574,0.469,4,-8.209,1,0.0254,0.534,0.128,0.288,132.023,Canada
39,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,['rap'],92,85,0.684,0.671,7,-4.392,0,0.0464,0.189,0.122,0.156,88.048,Canada
40,Blind,SZA,"['pop', 'r&b']",94,88,0.461,0.279,9,-11.776,0,0.0373,0.911,0.205,0.599,114.225,Canada
41,Another Love,Tom Odell,"['chill pop', 'pop']",80,66,0.442,0.538,4,-8.55,0,0.0451,0.717,0.09,0.139,122.758,Canada
42,About Damn Time,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",79,79,0.836,0.743,10,-6.305,0,0.0653,0.0974,0.335,0.723,108.965,Canada
43,Flowers Need Rain,Preston Pablo,[],58,71,0.655,0.539,1,-7.596,0,0.08,0.029,0.17,0.221,119.914,Canada
44,STAY (with Justin Bieber),The Kid LAROI,"['australian hip hop', 'pop']",82,86,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.103,0.478,169.928,Canada
45,Sunroof,Nicky Youre,['pop'],73,88,0.768,0.714,10,-5.11,1,0.0401,0.352,0.15,0.842,131.443,Canada
46,No Role Modelz,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",86,88,0.69,0.521,10,-8.492,0,0.339,0.324,0.0534,0.494,100.028,Canada
47,Wasted On You,Morgan Wallen,['contemporary country'],86,83,0.505,0.657,11,-5.24,0,0.0318,0.373,0.126,0.252,196.0,Canada
48,Lavender Haze,Taylor Swift,['pop'],99,88,0.733,0.436,10,-10.489,1,0.08,0.258,0.157,0.0976,96.985,Canada
49,Sure Thing,Miguel,"['dance pop', 'pop', 'r&b', 'urban contemporary']",80,87,0.684,0.607,11,-8.127,0,0.1,0.0267,0.191,0.498,81.001,Canada
