,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Llamame Bebe,Pailita,"['drill chileno', 'urbano chileno', 'urbano latino']",78,72,0.808,0.688,5,-6.78,1,0.106,0.232,0.149,0.351,105.034,Chile
1,Hey Mor,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",90,91,0.901,0.589,1,-6.713,0,0.289,0.00302,0.0992,0.399,98.002,Chile
2,La Bachata,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",85,97,0.835,0.679,7,-5.329,0,0.0364,0.583,0.218,0.85,124.98,Chile
3,Marisola - Remix,Cris Mj,"['mambo chileno', 'urbano chileno', 'urbano latino']",81,81,0.765,0.872,1,-5.863,1,0.0498,0.173,0.0749,0.722,94.999,Chile
4,La Jumpa,Arcángel,"['latin hip hop', 'reggaeton', 'urbano latino']",87,85,0.887,0.234,9,-14.52,1,0.178,0.111,0.13,0.197,140.02,Chile
5,Gato de Noche,Ñengo Flow,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",82,85,0.892,0.662,8,-3.894,1,0.162,0.169,0.363,0.607,93.976,Chile
6,Parcera,Pailita,"['drill chileno', 'urbano chileno', 'urbano latino']",78,76,0.731,0.848,1,-5.014,0,0.0547,0.026,0.0779,0.659,96.996,Chile
7,Feliz Cumpleaños Ferxxo,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'urbano latino']",91,87,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.305,0.563,94.999,Chile
8,LOKOTRON REMIX,Harry Nach,"['trap chileno', 'urbano chileno', 'urbano latino']",67,69,0.844,0.53,10,-9.177,0,0.146,0.276,0.123,0.746,92.008,Chile
9,Na Na Na - Remix,Pailita,"['drill chileno', 'urbano chileno', 'urbano latino']",78,77,0.831,0.83,3,-4.329,0,0.0865,0.0802,0.0442,0.938,98.003,Chile
10,Mandame Tu Ubi,Jere Klein,['reggaeton chileno'],65,73,0.791,0.644,10,-6.603,0,0.0651,0.101,0.109,0.953,100.935,Chile
11,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",86,96,0.621,0.782,2,-5.548,1,0.044,0.0125,0.23,0.55,128.033,Chile
12,Me Porto Bonito,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,95,0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0933,0.425,92.005,Chile
13,Efecto,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,93,0.801,0.475,7,-8.797,0,0.0516,0.141,0.0639,0.234,98.047,Chile
14,Vista Al Mar,Quevedo,"['rap canario', 'urbano latino']",87,89,0.759,0.561,0,-5.643,0,0.131,0.803,0.101,0.491,104.915,Chile
15,Marisola,Stars Music Chile,[],70,82,0.806,0.85,1,-4.84,1,0.0967,0.155,0.201,0.728,95.014,Chile
16,LOKERA,Rauw Alejandro,"['puerto rican pop', 'trap latino', 'urbano latino']",91,85,0.836,0.826,11,-2.66,0,0.0461,0.213,0.0814,0.579,102.025,Chile
17,TU DIABLO,ITHAN NY,"['drill chileno', 'reggaeton flow', 'urbano chileno', 'urbano latino']",66,78,0.793,0.676,4,-9.003,0,0.0633,0.0335,0.304,0.461,99.009,Chile
18,Ese Corte,Balbi El Chamako,"['mambo chileno', 'reggaeton chileno', 'reggaeton flow', 'urbano chileno']",63,70,0.685,0.829,11,-5.597,0,0.0456,0.00897,0.0512,0.509,95.115,Chile
19,GANAS,Julianno Sosa,"['urbano chileno', 'urbano latino']",69,74,0.728,0.643,0,-8.016,1,0.0436,0.124,0.119,0.334,99.987,Chile
20,Como Tu Ninguna - Remix,Cris Mj,"['mambo chileno', 'urbano chileno', 'urbano latino']",81,74,0.842,0.536,2,-6.669,1,0.0788,0.113,0.255,0.807,109.992,Chile
21,DEBI LLEVARTE FLORES,Young Cister,"['trap chileno', 'urbano chileno', 'urbano latino']",72,69,0.86,0.654,1,-4.639,1,0.0472,0.12,0.464,0.183,110.031,Chile
22,Ojitos Lindos,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,93,0.647,0.686,3,-5.745,0,0.0413,0.08,0.528,0.268,79.928,Chile
23,Punto G,Quevedo,"['rap canario', 'urbano latino']",87,89,0.751,0.761,11,-4.113,0,0.15,0.251,0.0991,0.553,92.032,Chile
24,BABY OTAKU,Pablito Pesadilla,[],68,84,0.835,0.747,9,-4.65,1,0.083,0.0492,0.055,0.432,102.003,Chile
25,Mini Mini,Punto40,['reggaeton chileno'],67,83,0.862,0.739,6,-4.612,1,0.387,0.703,0.141,0.885,98.073,Chile
26,LACONE,Polimá Westcoast,"['trap chileno', 'trap triste', 'urbano chileno', 'urbano latino']",78,82,0.798,0.718,8,-6.237,0,0.0443,0.263,0.142,0.727,126.01,Chile
27,"ADICTO (feat. Best, Bayriton)",Jairo Vera,"['mambo chileno', 'urbano chileno', 'urbano latino']",68,72,0.627,0.56,7,-10.006,1,0.0521,0.149,0.0922,0.719,177.899,Chile
28,Besos Moja2,Wisin & Yandel,"['electro latino', 'latin hip hop', 'reggaeton', 'urbano latino']",83,82,0.736,0.727,5,-4.642,0,0.0571,0.0584,0.0976,0.644,94.048,Chile
29,Moscow Mule,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,91,0.804,0.674,5,-5.453,0,0.0333,0.294,0.115,0.292,99.968,Chile
30,Tití Me Preguntó,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,94,0.65,0.715,5,-5.198,0,0.253,0.0993,0.126,0.187,106.672,Chile
31,Fiera,Cris Mj,"['mambo chileno', 'urbano chileno', 'urbano latino']",81,66,0.821,0.768,0,-4.376,1,0.0454,0.124,0.0674,0.882,91.997,Chile
32,Neverita,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,91,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.143,0.428,122.016,Chile
