,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Alo Aleky,Mohammed Saeed,"['egyptian alternative', 'egyptian pop']",58,67,0.671,0.41,7,-8.192,0,0.183,0.921,0.102,0.51,165.955,Egypt
1,البخت,Wegz,"['egyptian hip hop', 'egyptian trap']",61,66,0.78,0.59,3,-7.77,0,0.132,0.487,0.115,0.66,104.977,Egypt
2,Aleb Fel Dafater,Muslim - مُسلِم,['egyptian alternative'],57,51,0.393,0.5,3,-9.22,0,0.14,0.53,0.171,0.367,81.882,Egypt
3,عره فافي عامل مغامر - بت انتي حب حياتي,Essam Sasa,"['egyptian pop', 'mahraganat']",58,61,0.579,0.9,0,-2.534,0,0.158,0.435,0.365,0.741,186.088,Egypt
4,Amira,Wegz,"['egyptian hip hop', 'egyptian trap']",61,63,0.755,0.594,6,-7.316,0,0.0422,0.12,0.0666,0.629,117.948,Egypt
5,Brazil,Afroto,"['egyptian hip hop', 'egyptian trap']",54,62,0.947,0.732,9,-5.764,1,0.355,0.15,0.134,0.673,120.083,Egypt
6,بأمارة مين,Farid,[],48,64,0.686,0.66,0,-5.947,0,0.0291,0.47,0.206,0.727,135.984,Egypt
7,Etnaset,Muslim - مُسلِم,['egyptian alternative'],57,63,0.444,0.5,1,-7.706,0,0.0666,0.804,0.108,0.271,147.757,Egypt
8,Stop - Magnolia,Husayn,"['egyptian hip hop', 'egyptian trap']",48,59,0.747,0.465,1,-14.081,1,0.355,0.612,0.113,0.616,143.068,Egypt
9,MESAMA3EEN,FL EX,['egyptian trap'],54,53,0.738,0.705,4,-9.055,0,0.213,0.481,0.257,0.668,140.957,Egypt
10,Konty 2olely,Mohammed Saeed,"['egyptian alternative', 'egyptian pop']",58,59,0.671,0.248,5,-14.674,0,0.143,0.936,0.115,0.396,140.033,Egypt
