,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Amber,Zola,"['french hip hop', 'pop urbaine', 'rap francais']",70,79,0.707,0.778,6,-8.915,1,0.221,0.0853,0.177,0.668,140.988,France
1,DIE,Gazo,"['drill francais', 'rap francais']",77,80,0.695,0.63,8,-7.16,0,0.035,0.229,0.118,0.55,130.968,France
2,Fetty Wap,Maes,"['french hip hop', 'pop urbaine', 'rap francais']",72,78,0.919,0.621,9,-4.9,1,0.274,0.282,0.0839,0.555,130.12,France
3,LET GO,Central Cee,['melodic drill'],83,89,0.735,0.449,2,-9.933,0,0.383,0.859,0.213,0.514,146.016,France
4,Merci les bleus,KABONGO-DJ,[],45,62,0.753,0.743,0,-6.419,0,0.0459,0.236,0.12,0.786,107.988,France
5,I'm Good (Blue),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",89,96,0.561,0.965,7,-3.673,0,0.0343,0.00383,0.371,0.304,128.04,France
6,Lola,RK,"['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']",68,69,0.683,0.689,4,-5.62,1,0.183,0.117,0.0688,0.413,73.039,France
7,Mr. Ocho,SDM,"['french hip hop', 'pop urbaine', 'rap francais']",73,72,0.716,0.598,0,-7.096,0,0.23,0.324,0.0766,0.729,122.001,France
8,DESPECHÁ,ROSALÍA,['r&b en espanol'],86,86,0.914,0.622,7,-6.538,1,0.0892,0.146,0.0632,0.77,130.04,France
9,Balader,Soolking,"['francoton', 'french hip hop', 'pop urbaine', 'rap algerien', 'rap tunisien']",73,77,0.603,0.802,4,-5.089,0,0.111,0.306,0.124,0.787,130.121,France
10,Unholy (feat. Kim Petras),Sam Smith,"['dance pop', 'pop', 'uk pop']",89,98,0.714,0.472,2,-7.375,1,0.0864,0.013,0.266,0.238,131.121,France
11,Coeur De Pirate,Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",77,71,0.724,0.55,5,-8.615,0,0.263,0.0362,0.115,0.631,82.893,France
12,Urus,Favé,[],62,63,0.71,0.712,11,-7.436,0,0.3,0.0297,0.0975,0.596,162.106,France
13,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,['rap'],92,94,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0822,0.172,97.95,France
14,I Ain't Worried,OneRepublic,"['piano rock', 'pop']",85,94,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.0546,0.825,139.994,France
15,FLEURS (feat. Tiakola),Gazo,"['drill francais', 'rap francais']",77,75,0.673,0.636,10,-7.431,1,0.0771,0.268,0.108,0.438,127.021,France
16,Un jour je marierai un ange,Pierre de Maere,[],59,75,0.544,0.578,7,-9.49,0,0.18,0.216,0.0949,0.219,169.973,France
17,THE LONELIEST,Måneskin,"['indie rock italiano', 'italian pop']",80,86,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0762,0.237,129.786,France
18,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,"['lgbtq+ hip hop', 'pop']",83,89,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0892,0.308,141.872,France
19,TOUT VA BIEN (feat. Ninho & Naps),Alonzo,"['francoton', 'french hip hop', 'french pop', 'pop urbaine', 'rap francais', 'rap marseille']",67,76,0.66,0.72,3,-5.874,0,0.0753,0.301,0.226,0.628,99.937,France
20,FADE UP,ZEG P,[],59,76,0.758,0.599,4,-5.99,0,0.0877,0.57,0.129,0.557,129.96,France
