,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Maan Meri Jaan,King,"['desi pop', 'hindi hip hop']",79,88,0.698,0.505,6,-8.242,0,0.0356,0.354,0.0995,0.396,95.868,India
1,"Apna Bana Le (From ""Bhediya"")",Arijit Singh,"['desi pop', 'filmi', 'modern bollywood']",89,83,0.586,0.562,9,-7.399,1,0.0267,0.803,0.063,0.436,93.982,India
2,Kesariya,Pritam,"['filmi', 'indian instrumental', 'modern bollywood']",87,78,0.577,0.574,0,-6.525,1,0.0278,0.572,0.1,0.436,94.009,India
3,"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"['desi pop', 'filmi', 'modern bollywood']",76,80,0.773,0.795,8,-5.537,0,0.0412,0.0587,0.154,0.649,115.997,India
4,Tu Aake Dekhle,King,"['desi pop', 'hindi hip hop']",79,84,0.77,0.84,11,-4.022,1,0.107,0.515,0.145,0.192,96.012,India
5,Daku,Chani Nattan,"['desi hip hop', 'desi pop', 'punjabi pop']",67,82,0.847,0.558,8,-5.855,0,0.0663,0.325,0.135,0.495,98.062,India
6,No Love,Shubh,['punjabi hip hop'],75,83,0.768,0.487,4,-8.936,0,0.0431,0.24,0.175,0.722,137.034,India
7,Players,Badshah,"['desi hip hop', 'desi pop', 'desi trap', 'haryanvi pop', 'modern bollywood']",77,70,0.833,0.678,9,-3.711,0,0.141,0.464,0.107,0.576,109.969,India
8,"Manike (From ""Thank God"")",Yohani,['sinhala indie'],68,82,0.551,0.578,1,-7.005,0,0.0732,0.522,0.073,0.509,106.772,India
9,Baller,Shubh,['punjabi hip hop'],75,82,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0932,0.674,180.219,India
10,"Ranjithame (From ""Varisu"")",Thalapathy Vijay,[],65,80,0.545,0.98,9,-6.464,1,0.129,0.666,0.0788,0.658,124.96,India
11,Chaand Baaliyan,Aditya A,"['desi pop', 'hindi indie']",65,81,0.729,0.396,0,-8.98,1,0.0359,0.796,0.104,0.886,97.281,India
12,Kali Kali Zulfon Ke (Lo-Fi),Madhur Sharma,"['desi pop', 'modern bollywood']",68,79,0.464,0.491,7,-7.039,1,0.0392,0.837,0.111,0.106,76.739,India
13,Unholy (feat. Kim Petras),Sam Smith,"['dance pop', 'pop', 'uk pop']",89,98,0.714,0.472,2,-7.375,1,0.0864,0.013,0.266,0.238,131.121,India
14,Pasoori,Shae Gill,[],65,81,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0625,0.669,91.991,India
15,Excuses,AP Dhillon,"['punjabi hip hop', 'punjabi pop']",79,81,0.837,0.717,5,-7.749,0,0.0822,0.0842,0.149,0.494,94.984,India
16,Ram Ram,MC SQUARE,"['desi hip hop', 'haryanvi hip hop']",67,77,0.718,0.655,8,-6.419,0,0.0751,0.187,0.498,0.569,100.012,India
17,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,"['desi pop', 'modern bollywood']",81,78,0.72,0.63,10,-5.549,1,0.0413,0.615,0.108,0.512,81.009,India
18,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,"['classic bollywood', 'desi pop', 'filmi', 'hare krishna', 'modern bollywood']",79,75,0.562,0.519,3,-8.744,1,0.0326,0.557,0.172,0.415,122.925,India
19,Kho Gaye,Taaruk Raina,[],63,79,0.478,0.374,8,-11.627,0,0.0361,0.628,0.0979,0.218,76.163,India
20,Under The Influence,Chris Brown,"['dance pop', 'r&b']",89,94,0.733,0.69,9,-5.529,0,0.0427,0.0635,0.105,0.31,116.992,India
21,Heer Ranjha,Rito Riba,[],63,79,0.576,0.72,9,-3.842,1,0.0409,0.438,0.0814,0.6,140.031,India
