,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Subtitle,OFFICIAL HIGE DANDISM,"['anime', 'anime rock', 'j-pop']",74,82,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.118,0.381,130.0,Japan
1,KICK BACK,Kenshi Yonezu,"['anime', 'j-pop']",76,87,0.577,0.941,1,-5.17,1,0.105,0.00207,0.0891,0.292,101.921,Japan
2,W / X / Y,Tani Yuuki,"['j-pop', 'japanese teen pop']",67,75,0.628,0.775,2,-4.479,1,0.0535,0.159,0.33,0.674,106.382,Japan
3,Overdose,natori,[],64,81,0.733,0.598,4,-9.453,0,0.0377,0.0307,0.218,0.831,118.012,Japan
4,新時代,Ado,['japanese teen pop'],76,74,0.49,0.987,7,-2.279,1,0.253,0.049,0.406,0.451,175.064,Japan
5,ダンスホール,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",72,76,0.736,0.695,7,-3.87,1,0.0468,0.0209,0.0517,0.784,109.976,Japan
6,シンデレラボーイ,Saucy Dog,"['j-indie', 'j-pop', 'japanese alternative rock']",69,75,0.596,0.735,9,-6.362,1,0.0332,0.0748,0.269,0.524,108.106,Japan
7,第ゼロ感,10-FEET,"['j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock', 'japanese punk rock', 'japanese ska']",59,64,0.445,0.94,7,-4.16,1,0.175,2.77e-05,0.32,0.349,150.082,Japan
8,ベテルギウス,Yuuri,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",70,73,0.367,0.671,5,-4.604,1,0.0478,0.222,0.494,0.691,179.833,Japan
9,ミックスナッツ,OFFICIAL HIGE DANDISM,"['anime', 'anime rock', 'j-pop']",74,73,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.259,0.784,150.094,Japan
10,私は最強,Ado,['japanese teen pop'],76,73,0.577,0.864,4,-2.92,1,0.0447,0.208,0.355,0.698,96.04,Japan
11,綺羅キラー,ZUTOMAYO,['j-pop'],68,71,0.634,0.977,7,-2.078,0,0.118,0.372,0.35,0.672,142.048,Japan
12,なんでもないよ、,Macaroni Empitsu,"['anime', 'j-pop', 'japanese alternative rock', 'japanese teen pop']",66,72,0.598,0.511,4,-6.015,1,0.0423,0.245,0.0732,0.652,171.845,Japan
13,愛とか恋とか,Novelbright,"['j-pop', 'j-rock']",63,72,0.697,0.556,6,-5.089,1,0.0364,0.698,0.0991,0.404,89.987,Japan
14,水平線,back number,"['j-pop', 'j-rock']",74,74,0.419,0.75,10,-3.546,1,0.0316,0.011,0.159,0.436,145.867,Japan
15,Ditto,NewJeans,"['k-pop', 'k-pop girl group']",79,88,0.814,0.641,6,-5.957,0,0.111,0.027,0.0993,0.183,133.854,Japan
16,もう一度,Tani Yuuki,"['j-pop', 'japanese teen pop']",67,74,0.571,0.724,11,-5.381,1,0.0381,0.00408,0.361,0.315,131.975,Japan
17,カナタハルカ,RADWIMPS,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",73,69,0.474,0.535,0,-6.566,1,0.0354,0.626,0.413,0.324,79.95,Japan
18,怪獣の花唄,Vaundy,"['j-pop', 'japanese soul']",73,73,0.425,0.939,2,-3.498,1,0.054,0.00361,0.331,0.638,150.015,Japan
19,Soranji,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",72,70,0.476,0.661,5,-5.197,1,0.044,0.0604,0.144,0.406,156.057,Japan
20,祝福,YOASOBI,"['j-pop', 'japanese teen pop']",76,77,0.553,0.958,4,-3.159,0,0.073,0.0186,0.297,0.541,170.045,Japan
21,ドライフラワー,Yuuri,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",70,71,0.463,0.603,7,-5.464,1,0.0276,0.495,0.167,0.477,148.089,Japan
22,アイラブユー,back number,"['j-pop', 'j-rock']",74,73,0.468,0.624,1,-3.629,1,0.0281,0.296,0.142,0.462,77.988,Japan
23,色彩,yama,"['j-pop', 'japanese teen pop']",66,76,0.581,0.926,7,-3.268,0,0.0662,0.176,0.251,0.874,117.04,Japan
24,ANTIFRAGILE,LE SSERAFIM,[],78,89,0.882,0.797,10,-3.299,0,0.0819,0.0821,0.113,0.824,105.025,Japan
25,Habit,SEKAI NO OWARI,"['anime', 'j-pop']",66,73,0.749,0.85,10,-5.39,0,0.126,0.203,0.18,0.912,117.968,Japan
26,115万キロのフィルム,OFFICIAL HIGE DANDISM,"['anime', 'anime rock', 'j-pop']",74,73,0.516,0.791,3,-1.927,1,0.0318,0.00345,0.141,0.48,96.921,Japan
27,SOUVENIR,BUMP OF CHICKEN,"['j-pop', 'j-rock']",66,76,0.622,0.94,2,-4.997,1,0.0413,0.0094,0.0957,0.96,158.056,Japan
28,きらり,Fujii Kaze,['japanese teen pop'],76,73,0.746,0.764,2,-6.833,1,0.0462,0.00803,0.357,0.701,116.982,Japan
29,カメレオン,King Gnu,['j-pop'],70,73,0.628,0.533,0,-7.235,1,0.0417,0.643,0.0733,0.459,79.953,Japan
30,Melody,8LOOM,[],61,58,0.763,0.6,2,-6.081,1,0.0374,0.281,0.239,0.754,143.044,Japan
31,本当はね、,ヤングスキニー,['japanese alternative rock'],58,73,0.59,0.746,11,-5.313,1,0.041,0.178,0.0594,0.873,102.051,Japan
32,Mela!,Ryokuoushoku Shakai,['j-pop'],63,72,0.619,0.941,8,-1.618,1,0.0584,0.0439,0.318,0.624,137.967,Japan
33,逆光,Ado,['japanese teen pop'],76,70,0.564,0.896,10,-3.875,0,0.108,0.000387,0.374,0.713,145.023,Japan
34,恋だろ,wacci,"['anime', 'j-division', 'j-pop']",59,67,0.599,0.546,4,-6.795,1,0.0333,0.17,0.113,0.336,143.91,Japan
35,点描の唄,Mrs. GREEN APPLE,"['anime rock', 'j-pop', 'j-rock']",72,72,0.502,0.632,0,-4.612,1,0.0273,0.447,0.103,0.308,152.014,Japan
36,群青,YOASOBI,"['j-pop', 'japanese teen pop']",76,74,0.725,0.853,10,-3.193,1,0.0516,0.305,0.115,0.707,134.991,Japan
37,First Love,Hikaru Utada,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']",71,78,0.438,0.434,7,-8.37,1,0.0371,0.122,0.15,0.195,179.913,Japan
38,ウタカタララバイ,Ado,['japanese teen pop'],76,71,0.524,0.914,6,-2.104,1,0.12,0.179,0.17,0.63,89.015,Japan
39,クリスマスソング,back number,"['j-pop', 'j-rock']",74,73,0.404,0.705,4,-3.324,1,0.0315,0.128,0.123,0.42,154.02,Japan
40,トウキョウ・シャンディ・ランデヴ,MAISONdes,"['j-pop', 'japanese teen pop']",60,68,0.734,0.973,6,-1.789,0,0.0754,0.0435,0.0718,0.91,137.024,Japan
41,シャッター,Yuuri,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",70,70,0.606,0.579,5,-5.582,1,0.033,0.512,0.381,0.661,149.988,Japan
