,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,La Jumpa,Arcángel,"['latin hip hop', 'reggaeton', 'urbano latino']",87,85,0.887,0.234,9,-14.52,1,0.178,0.111,0.13,0.197,140.02,Mexico
1,La Bachata,Manuel Turizo,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",85,97,0.835,0.679,7,-5.329,0,0.0364,0.583,0.218,0.85,124.98,Mexico
2,Me Porto Bonito,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,95,0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0933,0.425,92.005,Mexico
3,Qué Agonía,Yuridia,"['latin arena pop', 'latin pop', 'mexican pop']",78,79,0.732,0.573,11,-5.733,1,0.0237,0.56,0.0543,0.882,97.502,Mexico
4,Que Vuelvas,Carin Leon,"['corrido', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",83,81,0.491,0.643,10,-4.309,1,0.0442,0.187,0.109,0.779,162.469,Mexico
5,Efecto,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,93,0.801,0.475,7,-8.797,0,0.0516,0.141,0.0639,0.234,98.047,Mexico
6,No Se Va - En Vivo,Grupo Frontera,['nueva musica mexicana'],78,78,0.594,0.527,0,-9.335,1,0.0335,0.121,0.234,0.692,172.712,Mexico
7,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",86,96,0.621,0.782,2,-5.548,1,0.044,0.0125,0.23,0.55,128.033,Mexico
8,Bebe Dame,Fuerza Regida,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",81,75,0.537,0.602,7,-4.631,1,0.0458,0.296,0.0715,0.753,157.437,Mexico
9,Gato de Noche,Ñengo Flow,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",82,85,0.892,0.662,8,-3.894,1,0.162,0.169,0.363,0.607,93.976,Mexico
10,Gatita,Bellakath,"['urbano latino', 'urbano mexicano']",72,79,0.895,0.847,7,-5.25,1,0.0519,0.16,0.338,0.735,101.006,Mexico
11,Ojitos Lindos,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,93,0.647,0.686,3,-5.745,0,0.0413,0.08,0.528,0.268,79.928,Mexico
12,Neverita,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,91,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.143,0.428,122.016,Mexico
13,Tití Me Preguntó,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,94,0.65,0.715,5,-5.198,0,0.253,0.0993,0.126,0.187,106.672,Mexico
14,AMG,Natanael Cano,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",80,82,0.772,0.73,11,-6.657,0,0.0972,0.152,0.274,0.786,136.175,Mexico
15,El Rescate,Grupo Marca Registrada,"['corrido', 'norteno', 'nueva musica mexicana', 'sad sierreno']",80,86,0.794,0.594,7,-8.698,0,0.139,0.283,0.109,0.637,99.238,Mexico
16,Siempre Pendientes,Peso Pluma,"['nueva musica mexicana', 'sad sierreno']",79,86,0.774,0.748,0,-7.086,1,0.0352,0.331,0.126,0.714,135.929,Mexico
17,JGL,La Adictiva,"['banda', 'musica mexicana', 'nueva musica mexicana', 'ranchera']",75,85,0.702,0.586,8,-5.317,1,0.118,0.55,0.27,0.965,112.852,Mexico
18,Hey Mor,Ozuna,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",90,91,0.901,0.589,1,-6.713,0,0.289,0.00302,0.0992,0.399,98.002,Mexico
19,El Gavilán,Luis R Conriquez,"['corrido', 'nueva musica mexicana', 'sad sierreno']",84,83,0.724,0.684,11,-4.413,1,0.0705,0.144,0.302,0.729,144.117,Mexico
20,Billete Grande (En Vivo),Fuerza Regida,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",81,85,0.751,0.601,5,-5.912,0,0.0828,0.533,0.377,0.56,100.994,Mexico
21,LOKERA,Rauw Alejandro,"['puerto rican pop', 'trap latino', 'urbano latino']",91,85,0.836,0.826,11,-2.66,0,0.0461,0.213,0.0814,0.579,102.025,Mexico
22,Ch y la Pizza,Fuerza Regida,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",81,81,0.661,0.6,8,-4.495,1,0.125,0.401,0.141,0.848,148.666,Mexico
23,Los Collares,Oscar Maydon,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana']",69,81,0.645,0.712,1,-5.787,1,0.188,0.208,0.3,0.805,136.724,Mexico
24,Calidad,Grupo Firme,"['musica mexicana', 'norteno', 'nueva musica mexicana', 'sierreno']",82,84,0.731,0.491,0,-3.116,1,0.029,0.609,0.262,0.781,132.891,Mexico
25,Moscow Mule,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,91,0.804,0.674,5,-5.453,0,0.0333,0.294,0.115,0.292,99.968,Mexico
26,Feliz Cumpleaños Ferxxo,Feid,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'urbano latino']",91,87,0.865,0.573,5,-5.501,1,0.0678,0.0863,0.305,0.563,94.999,Mexico
27,El Hijo Mayor,Junior H,"['corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",85,82,0.571,0.567,8,-6.873,1,0.0994,0.431,0.129,0.967,165.332,Mexico
28,No Es Por Acá,Carin Leon,"['corrido', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",83,83,0.746,0.37,2,-6.309,1,0.0306,0.456,0.106,0.595,97.568,Mexico
29,Si Fuera Fácil,Grupo Marca Registrada,"['corrido', 'norteno', 'nueva musica mexicana', 'sad sierreno']",80,84,0.794,0.677,10,-9.969,1,0.0713,0.446,0.076,0.611,101.467,Mexico
30,Los Botones Azules,Junior H,"['corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",85,84,0.784,0.737,5,-2.174,1,0.0758,0.0877,0.1,0.623,97.5,Mexico
31,PROVENZA,KAROL G,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",87,90,0.87,0.516,1,-8.006,1,0.0541,0.656,0.11,0.53,111.005,Mexico
32,Chale,Eden Muñoz,['nueva musica mexicana'],77,84,0.551,0.436,8,-8.029,1,0.0428,0.395,0.0719,0.862,188.651,Mexico
33,DESPECHÁ,ROSALÍA,['r&b en espanol'],86,86,0.914,0.622,7,-6.538,1,0.0892,0.146,0.0632,0.77,130.04,Mexico
34,Puro Campeón,Grupo Marca Registrada,"['corrido', 'norteno', 'nueva musica mexicana', 'sad sierreno']",80,83,0.851,0.542,10,-8.152,1,0.122,0.361,0.132,0.789,101.896,Mexico
35,Por las Noches,Peso Pluma,"['nueva musica mexicana', 'sad sierreno']",79,79,0.807,0.595,0,-7.19,1,0.0325,0.31,0.0735,0.392,92.491,Mexico
36,Monotonía,Shakira,"['colombian pop', 'dance pop', 'latin pop']",87,91,0.873,0.695,0,-4.207,0,0.0459,0.419,0.211,0.823,131.963,Mexico
37,As It Was,Harry Styles,['pop'],90,92,0.52,0.731,6,-5.338,0,0.0557,0.342,0.311,0.662,173.93,Mexico
38,Calm Down (with Selena Gomez),Rema,['nigerian pop'],81,93,0.801,0.806,11,-5.206,1,0.0381,0.382,0.114,0.802,106.999,Mexico
39,Solita (En Vivo),Lenin Ramírez,"['corrido', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",74,80,0.677,0.657,1,-4.657,0,0.0596,0.498,0.0562,0.812,116.225,Mexico
40,Vamos Para Arriba,Junior H,"['corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",85,81,0.699,0.51,5,-7.153,0,0.0352,0.498,0.22,0.625,98.07,Mexico
41,Como Quieras Quiero,Eden Muñoz,['nueva musica mexicana'],77,80,0.555,0.707,10,-7.665,1,0.12,0.644,0.101,0.963,185.914,Mexico
42,LA CANCIÓN,J Balvin,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",88,88,0.754,0.646,7,-5.795,1,0.317,0.152,0.108,0.429,176.089,Mexico
43,Yonaguni,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,87,0.644,0.648,1,-4.601,1,0.118,0.276,0.135,0.44,179.951,Mexico
44,CAIRO,KAROL G,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",87,88,0.951,0.692,5,-4.038,0,0.312,0.472,0.0894,0.431,115.047,Mexico
45,El Chamaquito,Virlan Garcia,"['corrido', 'musica mexicana', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",69,73,0.905,0.421,0,-9.433,1,0.0387,0.744,0.0763,0.955,103.992,Mexico
46,Un Coco,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,86,0.839,0.69,11,-4.464,1,0.0615,0.207,0.176,0.744,151.991,Mexico
47,Ya No Somos Ni Seremos,Christian Nodal,"['mariachi', 'musica mexicana', 'nueva musica mexicana', 'ranchera']",82,83,0.588,0.452,7,-4.75,1,0.0268,0.437,0.344,0.734,139.953,Mexico
48,Party,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']",100,88,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.242,0.471,97.013,Mexico
49,Que Te Vaya Bien,Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",80,71,0.667,0.467,7,-5.906,1,0.0276,0.237,0.271,0.406,97.99,Mexico
