,name,artist,genre,artist popularity,song popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,country
0,Ngeke,Big Nuz,"['afro soul', 'kwaito', 'south african house', 'south african pop']",46,49,0.831,0.818,1,-6.379,0,0.038,0.00756,0.239,0.775,127.013,South Africa
1,Mina Nawe,Soa mattrix,"['afro soul', 'south african pop']",46,63,0.875,0.871,5,-10.757,0,0.0458,0.0202,0.146,0.779,112.006,South Africa
2,SETE (feat. Young Stunna & Blxckie),K.O,"['afro soul', 'kasi rap', 'south african hip hop', 'south african pop', 'south african trap']",53,59,0.797,0.627,4,-7.096,0,0.0698,0.183,0.156,0.606,96.019,South Africa
3,"Ba Straata (feat. 2woshort, Stompiiey, ShaunMusiQ, Ftears & Madumane)",DJ Maphorisa,"['afro soul', 'amapiano', 'south african pop']",63,52,0.851,0.516,9,-12.79,1,0.0706,0.167,0.0861,0.365,112.013,South Africa
4,"Tobetsa Remake (feat. Focalistic, Daliwonga, ShaunMusiq & Ftears)",Myztro,['amapiano'],52,58,0.793,0.497,4,-10.816,1,0.0921,0.0116,0.0788,0.543,113.001,South Africa
5,Fatela,Aymos,"['afro soul', 'amapiano', 'south african pop']",53,59,0.875,0.36,1,-14.033,1,0.106,0.0139,0.103,0.407,112.013,South Africa
6,Kill Bill,SZA,"['pop', 'r&b']",94,87,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.161,0.418,88.98,South Africa
7,ZoTata (feat. Mr JazziQ),Pcee,[],40,56,0.873,0.628,4,-9.516,0,0.0828,0.0308,0.166,0.387,111.998,South Africa
8,Tobetsa,Myztro,['amapiano'],52,62,0.791,0.514,4,-11.384,1,0.0841,0.00194,0.0802,0.458,112.99,South Africa
9,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,['rap'],92,94,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0822,0.172,97.95,South Africa
10,Sengizwile (feat. Aymos & Young Stunna),Mas Musiq,"['afro soul', 'south african pop']",52,61,0.813,0.632,3,-9.723,0,0.0482,0.0283,0.137,0.777,112.044,South Africa
11,Rich Flex,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97,95,0.561,0.52,11,-9.342,0,0.244,0.0503,0.355,0.424,153.15,South Africa
